SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
SAURASHTRA & KUTCH,1937,0.00,2.40,0.00,0.00,0.00,117.20,271.40,6.00,112.20,8.30,0.00,16.10,533.60,2.40,0.00,506.80,24.40
SAURASHTRA & KUTCH,1938,0.00,0.00,0.00,0.00,10.00,141.40,114.30,59.20,5.30,15.40,0.00,0.30,346.00,0.00,10.00,320.20,15.70
SAURASHTRA & KUTCH,1939,0.00,8.60,2.30,0.00,0.00,9.00,62.20,79.50,11.80,4.10,1.90,0.00,179.40,8.60,2.30,162.50,6.00
SAURASHTRA & KUTCH,1940,7.20,6.40,6.50,0.10,1.70,111.60,87.60,85.60,23.20,2.20,24.50,0.00,356.50,13.60,8.30,307.90,26.70
SAURASHTRA & KUTCH,1941,0.50,3.40,0.00,0.10,0.80,14.40,347.20,13.40,17.10,2.90,0.00,2.00,401.80,3.80,0.90,392.20,4.90
SAURASHTRA & KUTCH,1942,1.00,21.00,0.00,0.00,6.00,13.20,111.30,146.70,42.90,0.00,0.00,0.10,342.20,22.00,6.00,314.10,0.10
SAURASHTRA & KUTCH,1943,0.20,0.00,0.00,1.80,8.80,62.10,352.70,13.40,71.70,15.80,0.10,0.00,526.60,0.20,10.60,499.90,15.90
SAURASHTRA & KUTCH,1944,0.90,0.00,2.10,0.00,4.00,70.00,429.50,196.40,13.10,0.30,0.00,1.30,717.60,0.90,6.10,708.90,1.60
SAURASHTRA & KUTCH,1945,10.00,0.00,0.00,0.70,0.40,120.90,328.30,102.90,69.10,0.80,0.00,0.00,633.10,10.00,1.10,621.20,0.80
SAURASHTRA & KUTCH,1946,0.00,0.40,0.00,0.90,3.20,137.10,134.30,156.50,30.30,1.80,8.20,0.60,473.40,0.40,4.10,458.30,10.60
SAURASHTRA & KUTCH,1947,0.00,0.00,0.00,64.40,0.00,1.20,79.10,260.40,151.60,2.10,0.00,0.00,558.80,0.00,64.40,492.20,2.10
SAURASHTRA & KUTCH,1948,8.20,0.00,0.00,0.00,0.40,13.40,19.40,74.70,72.60,34.00,23.50,1.40,247.70,8.20,0.40,180.10,59.00
SAURASHTRA & KUTCH,1949,0.00,0.10,0.00,0.00,0.90,13.30,236.50,231.80,55.90,3.40,0.30,0.00,542.30,0.10,0.90,537.60,3.70
SAURASHTRA & KUTCH,1950,0.20,0.00,0.00,0.00,0.00,3.10,386.80,21.00,62.50,0.00,0.00,0.00,473.60,0.20,0.00,473.40,0.00
SAURASHTRA & KUTCH,1951,0.00,0.00,0.80,0.80,1.40,40.00,128.30,87.70,6.90,0.40,18.80,0.00,285.20,0.00,3.00,263.00,19.20
SAURASHTRA & KUTCH,1952,0.00,0.30,0.00,0.10,1.70,79.10,279.30,32.70,5.60,1.40,0.70,0.00,400.80,0.30,1.80,396.70,2.10
SAURASHTRA & KUTCH,1953,6.50,0.30,0.30,0.00,0.00,66.30,112.10,450.30,69.70,1.00,0.00,0.00,706.60,6.80,0.40,698.40,1.00
SAURASHTRA & KUTCH,1954,1.90,1.10,3.50,0.00,0.40,47.60,180.60,207.00,154.90,0.80,0.50,1.50,599.80,3.00,3.90,590.00,2.80
SAURASHTRA & KUTCH,1955,0.00,0.00,0.90,0.00,0.90,26.30,26.50,140.80,181.00,8.30,0.00,0.40,385.10,0.00,1.80,374.60,8.70
SAURASHTRA & KUTCH,1956,0.30,0.20,0.00,0.20,1.20,81.30,318.80,175.40,100.40,59.00,1.80,0.40,739.10,0.50,1.40,675.90,61.20
SAURASHTRA & KUTCH,1957,1.70,0.00,0.10,0.10,1.50,78.60,197.70,90.40,8.00,1.50,18.10,0.80,398.50,1.70,1.70,374.80,20.30
SAURASHTRA & KUTCH,1958,0.90,0.50,0.30,3.30,0.50,43.50,159.90,80.80,213.90,34.60,10.10,3.40,551.60,1.40,4.10,498.10,48.00
SAURASHTRA & KUTCH,1959,0.90,0.00,0.00,2.20,1.70,66.50,549.10,69.00,210.20,116.70,4.60,0.00,1020.90,0.90,4.00,894.70,121.30
SAURASHTRA & KUTCH,1960,0.10,0.00,0.50,0.00,5.90,122.40,132.50,42.90,32.40,0.50,0.00,0.00,337.20,0.10,6.40,330.20,0.60
SAURASHTRA & KUTCH,1961,1.00,7.00,4.80,0.00,2.00,125.90,294.00,127.20,178.80,12.10,0.20,0.00,752.90,7.90,6.80,725.90,12.30
SAURASHTRA & KUTCH,1962,0.00,0.00,0.70,0.70,2.80,24.00,136.90,103.20,90.30,0.30,12.70,0.20,371.80,0.00,4.10,354.40,13.20
SAURASHTRA & KUTCH,1963,0.50,0.00,1.00,1.50,0.50,25.00,83.10,123.60,65.80,45.40,32.50,0.20,379.10,0.50,3.00,297.50,78.10
SAURASHTRA & KUTCH,1964,0.20,0.00,0.00,0.00,1.60,105.50,168.40,184.90,78.80,0.10,0.00,0.00,539.50,0.20,1.60,537.60,0.10
SAURASHTRA & KUTCH,1965,5.50,0.00,0.00,0.30,0.20,1.40,285.70,112.10,13.70,0.20,2.10,0.00,421.30,5.50,0.50,413.00,2.30
SAURASHTRA & KUTCH,1966,0.20,0.00,0.00,0.00,0.20,74.70,167.30,6.80,76.50,0.70,0.10,0.00,326.50,0.20,0.20,325.40,0.80
SAURASHTRA & KUTCH,1967,0.00,0.00,46.20,0.70,0.20,106.20,467.40,61.20,30.80,0.10,0.00,25.60,738.60,0.00,47.10,665.80,25.80
SAURASHTRA & KUTCH,1968,1.10,1.00,0.90,0.00,0.60,11.00,104.90,165.20,24.20,5.10,0.60,0.00,314.60,2.00,1.50,305.30,5.80
SAURASHTRA & KUTCH,1969,0.00,0.20,0.00,0.00,0.00,44.20,176.30,35.50,26.90,0.30,6.40,0.20,290.00,0.20,0.00,282.90,6.90
SAURASHTRA & KUTCH,1970,0.10,0.10,0.40,0.20,7.60,70.20,215.70,327.50,196.00,17.70,0.10,0.00,835.80,0.20,8.30,809.50,17.80
SAURASHTRA & KUTCH,1971,0.30,0.00,0.00,0.30,2.00,147.10,176.80,134.10,52.20,0.90,0.00,0.00,513.60,0.30,2.30,510.10,0.90
SAURASHTRA & KUTCH,1972,0.10,3.40,0.00,0.00,0.30,87.00,98.80,24.90,7.20,0.40,0.00,0.00,222.10,3.40,0.30,217.90,0.40
SAURASHTRA & KUTCH,1973,0.80,0.10,0.00,0.00,0.50,50.80,177.20,78.60,75.30,7.00,0.00,0.00,390.30,1.00,0.50,381.90,7.00
SAURASHTRA & KUTCH,1974,0.00,0.00,0.00,0.20,10.30,16.10,56.40,26.10,45.60,29.60,0.00,0.40,184.70,0.00,10.50,144.20,30.00
SAURASHTRA & KUTCH,1975,0.70,0.00,0.00,0.00,0.00,101.20,87.50,189.30,200.00,103.30,0.00,0.00,682.10,0.70,0.00,578.10,103.30
SAURASHTRA & KUTCH,1976,1.00,0.10,1.00,0.00,0.00,103.70,237.80,188.20,64.80,2.30,26.60,0.00,625.50,1.10,1.10,594.50,28.90
SAURASHTRA & KUTCH,1977,1.00,0.00,0.00,0.00,7.70,161.00,198.20,88.60,98.90,0.90,7.80,0.00,564.10,1.00,7.70,546.60,8.80
SAURASHTRA & KUTCH,1978,0.00,0.70,0.00,2.50,0.00,157.40,104.20,170.30,11.10,9.70,32.10,0.50,488.60,0.70,2.50,443.10,42.30
SAURASHTRA & KUTCH,1979,0.00,3.30,0.00,0.00,0.10,143.50,34.70,634.00,37.00,12.20,89.70,1.00,955.40,3.30,0.10,849.10,102.80
SAURASHTRA & KUTCH,1980,0.30,0.20,0.00,0.00,0.00,321.80,231.60,58.10,15.10,0.10,0.90,7.80,635.80,0.40,0.00,626.60,8.80
SAURASHTRA & KUTCH,1981,0.70,0.00,0.00,0.00,0.70,46.00,284.50,163.80,89.50,32.80,87.00,0.00,705.00,0.70,0.80,583.70,119.80
SAURASHTRA & KUTCH,1982,0.10,0.00,0.00,0.30,20.50,5.20,136.70,114.10,16.90,0.70,106.70,0.00,401.30,0.10,20.80,272.90,107.40
SAURASHTRA & KUTCH,1983,0.20,0.10,0.00,1.30,0.50,210.20,211.80,246.30,67.80,20.30,0.00,0.00,758.40,0.30,1.70,736.10,20.30
SAURASHTRA & KUTCH,1984,0.00,0.00,0.00,0.00,0.00,57.70,116.70,153.20,116.10,0.00,0.00,0.00,443.70,0.00,0.00,443.70,0.00
SAURASHTRA & KUTCH,1985,0.00,0.00,0.00,0.00,5.10,12.00,103.30,118.60,17.70,42.10,0.00,0.00,298.80,0.00,5.10,251.60,42.10
SAURASHTRA & KUTCH,1986,0.00,0.00,0.20,0.00,2.20,167.80,30.40,93.00,4.80,0.00,0.00,0.10,298.50,0.00,2.30,296.00,0.10
SAURASHTRA & KUTCH,1987,0.00,0.00,0.40,0.00,0.10,31.40,18.40,33.50,2.10,0.10,3.20,3.30,92.70,0.00,0.50,85.50,6.60
SAURASHTRA & KUTCH,1988,0.00,0.00,0.00,1.10,0.10,12.70,495.80,110.80,131.00,0.80,0.00,0.00,752.30,0.00,1.10,750.30,0.80
SAURASHTRA & KUTCH,1989,1.80,0.00,0.20,0.00,0.00,134.50,256.60,60.60,41.30,3.10,0.00,0.00,498.20,1.80,0.20,493.10,3.10
SAURASHTRA & KUTCH,1990,0.00,2.30,0.40,0.00,5.90,32.90,16.90,259.40,70.10,18.80,0.10,1.10,407.90,2.30,6.30,379.30,20.00
SAURASHTRA & KUTCH,1991,0.00,0.00,0.00,0.00,0.00,13.30,155.60,44.20,5.40,0.00,0.00,0.30,218.70,0.00,0.00,218.40,0.30
SAURASHTRA & KUTCH,1992,1.80,0.20,0.00,0.00,0.10,45.10,343.20,111.90,88.70,9.50,0.20,0.00,600.70,2.00,0.10,588.90,9.70
SAURASHTRA & KUTCH,1993,1.50,4.80,0.00,0.00,0.00,41.40,140.60,4.00,70.10,30.50,17.20,2.50,312.70,6.40,0.00,256.20,50.10
SAURASHTRA & KUTCH,1994,1.00,0.00,0.00,0.00,0.00,99.40,403.10,137.50,231.60,0.20,0.00,0.00,872.80,1.00,0.00,871.60,0.20
SAURASHTRA & KUTCH,1995,0.00,0.00,0.20,0.00,0.00,3.00,259.10,45.40,42.50,23.90,0.00,0.00,374.10,0.00,0.20,350.00,23.90
SAURASHTRA & KUTCH,1996,0.40,0.00,0.00,0.10,0.00,137.10,162.10,23.90,11.80,39.00,0.00,0.00,374.40,0.40,0.20,334.90,39.00
SAURASHTRA & KUTCH,1997,0.80,0.00,0.60,0.30,3.00,189.80,137.40,95.70,170.70,1.90,0.00,0.00,600.20,0.80,3.90,593.70,1.90
SAURASHTRA & KUTCH,1998,0.00,0.00,0.00,0.00,0.00,109.10,149.60,94.40,62.10,150.00,1.60,0.00,566.90,0.00,0.00,415.20,151.60
SAURASHTRA & KUTCH,1999,1.30,10.50,0.00,0.00,131.90,60.60,42.30,17.40,23.90,92.90,0.00,0.00,380.70,11.80,131.90,144.20,92.90
SAURASHTRA & KUTCH,2000,0.00,0.00,0.00,0.00,2.90,5.40,224.70,46.20,4.50,2.20,0.00,0.10,286.10,0.00,2.90,280.90,2.30
SAURASHTRA & KUTCH,2001,0.00,0.00,0.00,0.20,0.90,172.90,191.10,116.90,20.60,7.60,0.00,0.00,510.20,0.00,1.00,501.50,7.60
SAURASHTRA & KUTCH,2002,0.00,0.00,0.00,0.00,0.00,166.40,8.00,117.50,15.10,0.20,0.20,0.60,308.10,0.00,0.00,307.00,1.00
