SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
ANDAMAN & NICOBAR ISLANDS,1974,22.20,43.90,17.20,301.40,353.30,343.80,257.10,456.20,321.60,398.40,372.20,74.80,2962.00,66.00,672.00,1378.70,845.30
ANDAMAN & NICOBAR ISLANDS,1975,276.90,27.50,8.00,24.20,362.90,706.30,173.60,357.40,351.80,373.60,323.70,99.70,3085.70,304.40,395.20,1589.10,797.00
ANDAMAN & NICOBAR ISLANDS,1976,20.90,9.70,0.60,161.60,551.40,441.40,382.10,487.70,387.00,166.80,307.20,359.60,3276.00,30.60,713.50,1698.20,833.70
ANDAMAN & NICOBAR ISLANDS,1977,79.70,43.20,6.10,6.90,275.30,339.30,341.10,345.50,467.10,263.60,153.30,67.10,2388.20,122.90,288.30,1492.90,484.10
ANDAMAN & NICOBAR ISLANDS,1978,109.60,29.30,18.90,63.40,343.60,462.20,656.60,346.30,310.80,243.70,83.40,44.60,2712.40,138.90,425.90,1775.90,371.60
ANDAMAN & NICOBAR ISLANDS,1979,35.50,9.40,3.90,64.80,146.30,282.80,455.90,173.60,330.20,163.50,169.80,13.60,1849.40,44.90,215.00,1242.50,347.00
ANDAMAN & NICOBAR ISLANDS,1980,5.50,0.80,9.20,38.80,728.40,604.20,575.70,494.40,271.90,252.00,143.70,500.70,3625.30,6.30,776.50,1946.30,896.30
ANDAMAN & NICOBAR ISLANDS,1981,11.10,27.80,1.70,94.10,270.80,600.60,344.10,510.70,452.60,242.10,348.40,170.70,3074.80,38.90,366.70,1908.00,761.20
ANDAMAN & NICOBAR ISLANDS,1982,8.80,2.80,6.60,97.50,229.20,448.70,410.50,347.60,369.00,164.50,238.80,60.50,2384.50,11.60,333.30,1575.80,463.80
ANDAMAN & NICOBAR ISLANDS,1983,22.10,0.00,3.10,9.10,240.80,424.30,468.90,493.80,505.50,275.80,261.00,88.10,2792.40,22.10,253.00,1892.40,624.90
ANDAMAN & NICOBAR ISLANDS,1984,69.40,173.80,26.30,156.60,162.30,424.90,446.40,125.80,283.60,347.10,158.90,445.20,2820.30,243.20,345.20,1280.70,951.20
ANDAMAN & NICOBAR ISLANDS,1985,12.00,19.20,24.10,55.00,278.10,588.40,230.90,375.20,362.50,358.90,232.10,94.40,2630.80,31.20,357.20,1557.00,685.40
ANDAMAN & NICOBAR ISLANDS,1986,14.80,0.60,1.50,8.20,302.60,312.20,308.50,444.00,408.90,176.10,163.50,47.00,2187.80,15.40,312.30,1473.60,386.50
ANDAMAN & NICOBAR ISLANDS,1987,72.40,35.20,20.40,17.70,162.90,343.70,45.30,666.50,378.90,373.40,313.40,334.10,2764.00,107.60,200.90,1434.50,1021.00
ANDAMAN & NICOBAR ISLANDS,1988,10.20,39.90,28.00,82.70,427.50,357.40,495.60,354.20,603.30,271.40,583.00,69.90,3323.00,50.10,538.10,1810.50,924.30
ANDAMAN & NICOBAR ISLANDS,1989,56.00,12.80,68.10,42.60,379.30,414.90,380.10,413.20,215.90,291.80,255.00,4.00,2533.60,68.80,490.00,1424.10,550.70
ANDAMAN & NICOBAR ISLANDS,1990,13.40,0.20,24.60,87.50,424.60,291.00,213.20,293.30,310.40,133.60,291.10,100.30,2183.40,13.60,536.80,1108.00,525.10
ANDAMAN & NICOBAR ISLANDS,1991,14.10,3.80,28.00,132.90,191.30,165.70,547.20,486.50,489.90,287.60,130.10,58.50,2535.80,18.00,352.20,1689.30,476.20
ANDAMAN & NICOBAR ISLANDS,1992,75.90,10.90,0.00,5.10,241.70,392.00,348.20,372.30,323.70,257.30,64.30,7.20,2098.70,86.80,246.80,1436.20,328.80
ANDAMAN & NICOBAR ISLANDS,1993,14.90,0.00,129.90,43.70,181.40,257.10,391.70,226.70,437.00,299.30,189.00,66.70,2237.40,14.90,355.00,1312.50,555.00
ANDAMAN & NICOBAR ISLANDS,1994,7.20,35.50,129.40,154.60,403.20,386.30,569.70,460.50,775.10,137.50,180.30,23.80,3262.80,42.60,687.20,2191.50,341.50
ANDAMAN & NICOBAR ISLANDS,1995,51.80,12.50,12.10,21.10,314.80,450.40,501.40,555.80,426.40,294.70,452.90,21.60,3115.40,64.30,348.10,1933.90,769.20
ANDAMAN & NICOBAR ISLANDS,1996,52.20,4.80,3.40,122.70,298.00,559.20,335.50,328.00,541.60,318.50,254.20,178.80,2996.90,57.00,424.10,1764.30,751.50
ANDAMAN & NICOBAR ISLANDS,1997,9.50,0.00,0.20,15.60,281.10,199.50,918.50,430.60,440.20,128.70,292.80,38.40,2755.10,9.50,296.90,1988.80,459.90
ANDAMAN & NICOBAR ISLANDS,1998,0.90,0.00,0.00,0.00,348.90,600.00,364.50,258.90,337.80,618.60,227.80,89.00,2846.40,0.90,348.90,1561.20,935.40
ANDAMAN & NICOBAR ISLANDS,1999,46.80,44.60,14.20,270.60,257.40,295.00,408.50,329.20,325.30,437.50,124.90,145.70,2699.70,91.40,542.20,1358.00,708.10
ANDAMAN & NICOBAR ISLANDS,2000,53.00,59.00,171.30,218.10,422.80,357.00,176.30,460.80,250.10,321.20,158.30,115.20,2763.20,112.00,812.20,1244.20,594.70
ANDAMAN & NICOBAR ISLANDS,2001,89.00,15.70,143.30,30.10,705.30,370.70,341.30,469.00,334.40,267.60,222.60,91.80,3080.90,104.70,878.70,1515.40,582.00
ANDAMAN & NICOBAR ISLANDS,2002,10.60,0.00,11.50,100.20,366.70,358.30,317.40,429.80,420.00,169.00,306.70,129.90,2620.20,10.70,478.40,1525.60,605.50
ANDAMAN & NICOBAR ISLANDS,2003,44.30,7.90,149.20,19.40,296.30,159.90,494.90,379.40,371.90,310.40,74.10,48.00,2355.90,52.20,465.00,1406.10,432.50
ANDAMAN & NICOBAR ISLANDS,2004,54.50,35.90,36.50,41.60,505.10,423.90,378.90,308.70,280.70,223.90,169.90,0.40,2460.10,90.40,583.20,1392.20,394.20
ANDAMAN & NICOBAR ISLANDS,2005,0.00,0.00,20.30,51.10,305.30,452.40,429.30,311.10,507.50,293.50,300.10,283.90,2954.70,0.00,376.80,1700.40,877.50
ANDAMAN & NICOBAR ISLANDS,2006,16.30,14.40,48.90,163.70,321.40,366.00,182.70,219.60,546.50,374.70,76.10,74.40,2404.70,30.70,534.00,1314.90,525.20
ANDAMAN & NICOBAR ISLANDS,2007,4.90,1.60,5.00,54.60,370.00,378.30,463.20,465.30,486.40,209.40,223.90,85.60,2748.00,6.50,429.60,1793.10,518.90
ANDAMAN & NICOBAR ISLANDS,2008,9.90,67.70,115.80,216.10,545.50,457.80,511.20,482.10,332.00,243.70,321.10,72.00,3374.80,77.60,877.30,1783.10,636.80
ANDAMAN & NICOBAR ISLANDS,2009,24.50,6.30,44.20,136.50,313.10,633.50,297.30,351.50,344.70,272.80,66.20,48.00,2538.60,30.80,493.70,1627.10,386.90
ANDAMAN & NICOBAR ISLANDS,2010,101.70,8.00,0.70,12.50,319.00,448.90,521.90,563.80,263.30,402.40,268.50,246.40,3157.10,109.80,332.20,1797.80,917.30
ANDAMAN & NICOBAR ISLANDS,2011,265.90,84.80,272.80,111.40,326.50,383.20,583.20,441.50,757.10,212.30,150.80,238.50,3828.00,350.70,710.70,2165.00,601.60
ANDAMAN & NICOBAR ISLANDS,2012,119.90,45.60,30.90,55.80,533.90,458.20,317.30,369.60,868.90,209.70,300.50,187.30,3497.60,165.60,620.50,2014.00,697.50
ANDAMAN & NICOBAR ISLANDS,2013,67.10,37.60,43.00,46.30,509.30,777.00,564.80,336.70,473.60,455.80,354.20,92.30,3757.80,104.70,598.60,2152.10,902.40
ANDAMAN & NICOBAR ISLANDS,2014,41.90,8.60,0.00,11.10,238.00,416.60,467.60,321.60,412.90,402.60,201.20,100.40,2622.40,50.50,249.10,1618.70,704.20
ANDAMAN & NICOBAR ISLANDS,2015,126.80,7.60,3.10,138.20,331.90,346.40,328.90,480.00,523.30,252.10,236.30,129.90,2904.60,134.40,473.20,1678.60,618.40
