SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
WEST UTTAR PRADESH,1937,0.30,64.60,1.80,11.50,10.50,66.10,211.80,164.80,131.70,2.20,0.90,10.70,676.70,64.90,23.70,574.30,13.80
WEST UTTAR PRADESH,1938,39.20,5.90,0.10,1.10,7.90,158.80,273.60,182.20,42.60,18.50,0.50,0.00,730.40,45.10,9.10,657.20,19.00
WEST UTTAR PRADESH,1939,8.00,21.20,6.30,0.60,2.90,130.20,235.50,101.70,211.50,3.20,0.00,0.00,721.10,29.20,9.80,678.90,3.20
WEST UTTAR PRADESH,1940,21.10,39.30,19.10,5.80,5.70,40.40,232.40,348.70,53.90,1.50,0.20,15.80,783.90,60.40,30.60,675.50,17.40
WEST UTTAR PRADESH,1941,35.60,8.30,1.60,0.00,16.00,87.60,56.20,221.60,83.00,4.40,0.00,2.00,516.40,43.90,17.60,448.40,6.50
WEST UTTAR PRADESH,1942,33.20,54.30,1.30,5.90,5.40,98.00,362.40,320.10,193.90,0.00,0.00,13.70,1088.20,87.50,12.60,974.40,13.70
WEST UTTAR PRADESH,1943,25.80,0.50,2.80,13.90,11.20,75.70,186.60,379.50,149.80,4.50,0.00,0.10,850.40,26.20,27.90,791.70,4.60
WEST UTTAR PRADESH,1944,32.30,43.20,44.40,25.10,0.40,76.50,255.40,183.20,87.10,21.00,0.60,1.20,770.30,75.60,69.90,602.20,22.70
WEST UTTAR PRADESH,1945,35.50,0.00,0.50,4.60,4.40,31.00,309.50,260.00,278.80,41.60,0.00,0.10,966.00,35.50,9.50,879.40,41.70
WEST UTTAR PRADESH,1946,0.10,19.30,0.70,11.90,20.40,92.20,378.20,277.60,40.00,31.50,18.20,6.70,896.60,19.40,33.00,787.90,56.40
WEST UTTAR PRADESH,1947,18.10,12.20,11.00,0.20,2.90,47.40,237.30,197.80,263.60,11.10,0.00,7.40,809.20,30.40,14.10,746.10,18.50
WEST UTTAR PRADESH,1948,37.20,18.80,11.90,0.30,5.30,9.20,310.30,422.80,179.70,22.50,9.60,0.50,1028.10,56.00,17.40,922.00,32.70
WEST UTTAR PRADESH,1949,0.60,38.30,3.40,3.20,10.70,14.50,339.00,267.70,207.80,21.30,0.00,0.10,906.70,38.90,17.40,829.00,21.40
WEST UTTAR PRADESH,1950,21.10,5.80,21.20,0.70,7.10,47.70,265.90,311.20,138.40,0.20,0.00,14.80,834.00,26.80,28.90,763.30,15.00
WEST UTTAR PRADESH,1951,16.40,8.20,34.90,6.60,11.50,31.70,141.00,253.40,199.90,6.50,18.70,0.00,728.90,24.60,53.10,626.00,25.20
WEST UTTAR PRADESH,1952,6.60,20.00,23.40,2.60,8.10,190.80,198.80,379.10,36.20,2.30,0.10,7.30,875.30,26.50,34.20,804.80,9.70
WEST UTTAR PRADESH,1953,36.90,0.50,0.00,5.90,7.40,64.60,366.80,192.80,85.10,1.10,0.00,0.50,761.80,37.50,13.30,709.40,1.70
WEST UTTAR PRADESH,1954,34.90,67.60,11.00,0.10,0.70,40.80,232.50,222.70,169.00,99.90,0.00,0.00,879.30,102.50,11.80,665.00,99.90
WEST UTTAR PRADESH,1955,44.80,5.70,2.40,3.30,2.10,98.10,199.40,295.20,216.20,193.70,0.00,0.00,1060.90,50.50,7.70,808.90,193.70
WEST UTTAR PRADESH,1956,23.10,4.30,22.20,0.40,12.40,67.20,334.70,289.80,96.80,206.50,4.50,2.60,1064.40,27.40,35.00,788.50,213.60
WEST UTTAR PRADESH,1957,59.70,0.30,29.10,5.40,2.40,42.30,282.30,271.10,278.90,18.20,3.20,12.30,1005.20,60.00,36.80,874.60,33.80
WEST UTTAR PRADESH,1958,7.70,2.80,3.50,5.50,0.70,42.10,397.10,327.30,246.70,122.40,0.20,9.40,1165.30,10.50,9.60,1013.20,132.00
WEST UTTAR PRADESH,1959,46.30,3.90,5.70,1.30,34.10,18.90,203.50,281.10,106.80,50.20,16.50,0.00,768.30,50.20,41.10,610.30,66.60
WEST UTTAR PRADESH,1960,11.60,0.00,33.90,2.30,5.80,64.90,334.90,391.90,94.70,187.70,0.00,1.90,1129.80,11.70,42.10,886.40,189.70
WEST UTTAR PRADESH,1961,44.50,33.10,0.10,2.10,7.60,73.40,302.50,467.50,113.50,141.40,1.90,10.50,1198.30,77.70,9.80,956.90,153.90
WEST UTTAR PRADESH,1962,34.00,18.60,15.10,0.80,2.20,45.90,221.20,238.00,214.60,0.10,1.60,6.10,798.20,52.60,18.10,719.70,7.80
WEST UTTAR PRADESH,1963,13.60,5.00,5.20,3.50,9.70,70.90,165.40,361.40,279.50,0.30,10.90,4.30,929.70,18.50,18.40,877.20,15.60
WEST UTTAR PRADESH,1964,2.30,0.80,1.90,0.60,20.20,38.80,416.30,246.70,261.00,1.60,0.20,11.60,1002.00,3.10,22.60,962.90,13.40
WEST UTTAR PRADESH,1965,8.00,10.40,10.60,21.10,10.60,3.70,215.40,219.40,148.40,25.30,0.00,0.70,673.50,18.40,42.20,586.90,26.00
WEST UTTAR PRADESH,1966,6.00,13.00,0.80,0.20,20.50,143.30,146.50,356.50,49.30,9.30,7.80,2.90,756.00,19.00,21.50,695.60,19.90
WEST UTTAR PRADESH,1967,0.50,0.10,34.40,1.30,3.80,51.80,263.60,509.60,223.50,4.80,2.10,61.60,1157.20,0.60,39.40,1048.60,68.50
WEST UTTAR PRADESH,1968,21.80,8.40,10.00,0.30,0.10,46.40,319.30,205.00,64.70,15.60,0.00,1.50,693.30,30.20,10.40,635.50,17.20
WEST UTTAR PRADESH,1969,5.80,3.00,10.00,4.80,16.60,17.10,311.40,262.40,231.20,0.40,15.40,0.00,878.10,8.80,31.40,822.20,15.80
WEST UTTAR PRADESH,1970,37.80,44.60,9.30,0.10,15.50,129.00,133.60,316.30,160.80,16.90,0.00,0.00,863.80,82.30,24.80,739.70,16.90
WEST UTTAR PRADESH,1971,10.90,12.50,2.90,11.50,44.70,139.10,284.60,280.50,125.70,84.30,6.20,0.00,1003.10,23.40,59.20,830.00,90.60
WEST UTTAR PRADESH,1972,4.00,26.30,4.50,3.10,0.40,31.90,165.90,211.50,119.00,7.50,9.40,1.60,585.10,30.30,8.00,528.30,18.50
WEST UTTAR PRADESH,1973,7.50,12.70,2.60,0.00,7.90,79.90,263.50,292.00,87.10,51.00,0.10,1.70,805.90,20.20,10.50,722.40,52.80
WEST UTTAR PRADESH,1974,0.20,0.70,0.80,0.10,7.90,25.80,356.60,191.50,27.60,39.10,0.00,18.60,668.90,0.90,8.70,601.50,57.70
WEST UTTAR PRADESH,1975,13.40,7.80,7.00,0.80,2.50,159.70,273.10,245.60,256.90,22.60,0.00,0.00,989.50,21.20,10.30,935.30,22.60
WEST UTTAR PRADESH,1976,1.50,11.90,2.90,2.30,11.00,69.80,228.80,246.10,75.20,2.60,0.60,0.30,653.20,13.40,16.20,620.00,3.60
