SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
NAGA MANI MIZO TRIPURA,1935,0.60,48.30,43.70,173.30,171.20,547.10,506.40,553.50,339.10,124.80,33.10,2.20,2543.30,48.80,388.20,1946.10,160.10
NAGA MANI MIZO TRIPURA,1936,19.30,73.10,104.60,227.50,489.50,418.30,529.70,507.60,309.40,202.60,22.60,13.00,2917.10,92.40,821.60,1765.00,238.20
NAGA MANI MIZO TRIPURA,1937,0.10,60.00,37.30,85.40,337.10,528.90,490.10,614.80,291.00,207.10,17.90,72.00,2741.60,60.10,459.80,1924.70,297.00
NAGA MANI MIZO TRIPURA,1938,29.20,29.20,133.80,153.60,429.00,494.60,413.60,491.40,441.70,243.90,111.70,0.00,2971.60,58.40,716.40,1841.20,355.60
NAGA MANI MIZO TRIPURA,1939,2.60,59.30,34.50,203.70,274.40,449.60,638.80,333.90,380.80,198.80,30.00,2.00,2608.30,61.80,512.60,1803.10,230.80
NAGA MANI MIZO TRIPURA,1940,0.30,74.60,230.90,35.50,325.60,496.20,458.20,345.70,373.30,131.60,31.40,23.60,2526.70,74.80,592.00,1673.40,186.50
NAGA MANI MIZO TRIPURA,1941,14.10,63.10,34.10,256.60,563.10,689.40,489.50,372.60,288.20,143.30,44.20,7.90,2966.20,77.20,853.80,1839.70,195.50
NAGA MANI MIZO TRIPURA,1942,6.00,15.70,78.70,250.40,305.30,528.70,403.30,461.80,420.80,65.40,143.20,1.50,2680.90,21.70,634.40,1814.60,210.10
NAGA MANI MIZO TRIPURA,1943,68.40,28.80,131.30,143.70,210.30,496.10,422.50,485.20,354.90,84.00,2.20,0.60,2427.90,97.20,485.20,1758.80,86.70
NAGA MANI MIZO TRIPURA,1944,91.40,20.20,69.70,128.60,321.80,670.50,527.90,440.70,490.80,110.50,4.40,0.70,2877.30,111.60,520.20,2130.00,115.60
NAGA MANI MIZO TRIPURA,1945,68.70,60.90,67.70,170.40,354.20,595.30,573.90,509.70,378.80,205.60,13.30,53.30,3051.90,129.60,592.30,2057.70,272.20
NAGA MANI MIZO TRIPURA,1946,0.00,19.10,189.30,237.50,352.40,517.50,647.70,397.90,305.10,311.40,7.70,50.50,3036.20,19.10,779.20,1868.20,369.60
NAGA MANI MIZO TRIPURA,1947,3.00,4.30,44.30,176.00,374.40,723.90,640.50,491.10,415.60,306.00,1.70,29.70,3210.20,7.30,594.60,2271.10,337.30
NAGA MANI MIZO TRIPURA,1948,5.50,65.10,54.30,206.50,468.40,410.30,500.10,472.50,424.20,140.00,71.40,3.70,2822.10,70.60,729.30,1807.20,215.10
NAGA MANI MIZO TRIPURA,1949,8.10,12.60,67.40,370.20,419.60,562.80,507.70,416.90,427.50,177.30,4.20,2.00,2976.30,20.60,857.30,1914.90,183.50
NAGA MANI MIZO TRIPURA,1950,12.30,59.70,79.10,87.80,207.40,407.40,449.40,535.30,255.40,237.50,82.90,8.70,2423.00,72.10,374.30,1647.50,329.10
NAGA MANI MIZO TRIPURA,1951,3.90,0.20,62.40,360.10,233.70,495.00,436.20,440.50,191.10,310.60,54.90,20.80,2609.30,4.10,656.30,1562.70,386.20
NAGA MANI MIZO TRIPURA,1952,9.60,6.50,97.10,208.20,345.90,442.60,556.80,422.80,320.50,323.60,76.20,1.10,2810.90,16.10,651.20,1742.70,400.90
NAGA MANI MIZO TRIPURA,1953,7.40,16.50,98.40,90.00,453.50,570.90,387.00,424.30,443.80,136.20,25.00,8.70,2661.60,23.80,641.90,1825.90,169.90
NAGA MANI MIZO TRIPURA,1954,12.80,52.40,37.70,165.30,300.20,619.80,491.40,558.30,361.70,294.20,2.40,8.80,2905.10,65.20,503.30,2031.20,305.40
NAGA MANI MIZO TRIPURA,1955,6.20,5.70,161.30,213.60,280.60,461.40,559.20,514.70,253.80,183.50,220.20,5.10,2865.00,11.90,655.50,1789.00,408.70
NAGA MANI MIZO TRIPURA,1956,18.30,1.30,102.20,115.50,474.00,758.90,529.80,469.60,257.50,187.10,101.10,7.40,3022.70,19.60,691.70,2015.70,295.60
NAGA MANI MIZO TRIPURA,1957,59.10,60.60,10.20,104.80,300.10,409.10,425.70,429.10,354.40,148.30,0.80,1.70,2303.90,119.70,415.10,1618.30,150.80
NAGA MANI MIZO TRIPURA,1958,6.20,87.20,18.30,93.70,400.60,256.40,308.30,254.80,299.50,238.50,2.30,2.70,1968.60,93.40,512.60,1119.00,243.50
NAGA MANI MIZO TRIPURA,1959,39.90,77.70,148.00,74.00,260.00,378.50,396.30,357.30,239.10,352.80,0.10,3.90,2327.60,117.60,482.00,1371.20,356.80
