SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
KONKAN & GOA,1938,0.00,0.40,4.00,2.10,55.20,1118.10,908.20,634.80,345.60,400.00,27.00,0.10,3495.50,0.40,61.30,3006.70,427.10
KONKAN & GOA,1939,0.20,0.00,0.40,5.80,0.10,509.60,1116.80,817.10,227.90,58.00,22.70,0.00,2758.60,0.20,6.30,2671.40,80.80
KONKAN & GOA,1940,4.80,6.10,2.80,1.90,7.90,668.30,1105.90,987.10,328.90,172.70,26.70,0.60,3313.70,10.80,12.60,3090.20,200.00
KONKAN & GOA,1941,17.10,0.20,0.10,1.00,5.10,602.70,718.00,282.00,194.60,61.40,0.20,7.30,1889.60,17.30,6.20,1797.30,68.80
KONKAN & GOA,1942,0.00,0.00,0.00,3.30,2.60,987.60,1386.30,536.70,312.00,37.10,1.40,12.40,3279.50,0.00,5.90,3222.70,51.00
KONKAN & GOA,1943,3.60,0.00,0.10,0.00,200.00,788.00,1313.10,281.80,468.40,168.40,27.80,0.00,3251.30,3.60,200.10,2851.30,196.20
KONKAN & GOA,1944,0.10,0.00,0.70,0.00,17.50,542.50,1456.00,658.60,85.70,177.00,14.10,0.00,2952.10,0.10,18.20,2742.70,191.10
KONKAN & GOA,1945,8.80,0.00,0.00,0.90,1.10,733.20,1394.20,709.40,348.40,44.90,3.60,0.00,3244.50,8.80,2.00,3185.20,48.50
KONKAN & GOA,1946,0.00,0.00,0.00,14.40,30.00,787.90,1085.70,878.90,334.00,47.30,170.40,10.40,3358.90,0.00,44.40,3086.50,228.00
KONKAN & GOA,1947,4.90,0.00,5.80,67.30,7.50,398.30,1133.90,919.20,497.50,50.80,2.00,2.90,3090.10,4.90,80.60,2948.80,55.80
KONKAN & GOA,1948,10.50,0.00,0.20,2.30,7.20,599.30,1080.40,797.30,376.60,77.70,168.10,0.00,3119.80,10.50,9.80,2853.60,245.90
KONKAN & GOA,1949,0.20,0.00,0.10,1.30,128.90,442.20,1147.30,594.70,782.30,108.30,8.40,0.00,3213.70,0.20,130.30,2966.40,116.70
KONKAN & GOA,1950,0.00,0.00,0.20,0.20,21.30,364.10,1336.10,302.60,777.50,119.10,8.10,0.00,2929.20,0.00,21.70,2780.30,127.10
KONKAN & GOA,1951,0.00,0.00,2.50,9.80,22.70,730.40,1114.70,507.60,129.00,296.30,36.30,0.00,2849.40,0.00,35.10,2481.70,332.60
KONKAN & GOA,1952,0.00,0.00,0.00,2.80,23.50,729.40,1013.10,512.30,87.50,151.50,0.00,1.80,2522.00,0.00,26.30,2342.30,153.40
KONKAN & GOA,1953,0.00,0.00,0.00,15.40,0.00,910.30,1321.90,713.30,210.50,156.10,0.20,0.00,3327.80,0.00,15.40,3156.00,156.30
KONKAN & GOA,1954,0.00,2.40,3.50,7.20,3.90,581.50,1470.80,912.80,750.70,48.90,0.10,8.60,3790.30,2.40,14.60,3715.70,57.50
KONKAN & GOA,1955,0.20,0.00,2.20,11.60,34.20,779.20,995.90,1299.80,463.00,297.10,14.20,0.00,3897.50,0.20,48.00,3537.90,311.30
KONKAN & GOA,1956,0.00,0.30,0.00,5.80,176.40,780.20,1325.80,700.80,433.40,195.00,46.00,0.00,3663.70,0.30,182.20,3240.20,241.00
KONKAN & GOA,1957,0.00,0.00,0.00,1.70,30.60,593.80,1175.00,1051.70,130.60,86.60,52.90,0.60,3123.50,0.00,32.30,2951.10,140.10
KONKAN & GOA,1958,0.20,0.10,0.20,9.00,34.80,1044.50,1280.20,1177.90,383.70,54.80,14.70,0.20,4000.20,0.30,44.00,3886.30,69.70
KONKAN & GOA,1959,0.00,0.00,0.00,6.00,36.20,750.10,1357.10,690.90,521.80,201.40,24.80,0.30,3588.60,0.00,42.20,3319.90,226.50
KONKAN & GOA,1960,0.00,0.00,0.00,1.10,81.00,920.10,1140.90,501.80,285.10,82.00,15.30,0.50,3027.70,0.00,82.10,2847.80,97.70
KONKAN & GOA,1961,0.00,5.20,0.00,2.30,182.20,738.00,1543.30,712.60,486.10,248.90,2.40,0.00,3921.00,5.20,184.50,3480.10,251.30
KONKAN & GOA,1962,0.20,0.00,0.10,0.70,129.50,435.50,1355.10,880.40,525.90,48.80,12.80,96.20,3485.10,0.20,130.30,3196.80,157.90
KONKAN & GOA,1963,0.00,0.10,0.10,1.10,7.60,594.50,1178.80,1414.70,306.30,91.90,11.70,0.00,3606.80,0.10,8.80,3494.30,103.60
KONKAN & GOA,1964,0.00,0.00,0.00,0.90,5.20,690.30,908.30,1031.80,378.90,158.00,18.90,0.40,3192.70,0.00,6.10,3009.40,177.30
KONKAN & GOA,1965,3.40,0.00,0.00,5.70,0.10,817.60,1393.70,608.80,147.50,8.90,2.20,83.70,3071.50,3.40,5.80,2967.60,94.80
KONKAN & GOA,1966,0.00,0.00,0.00,0.20,64.70,370.00,1168.80,224.10,443.50,43.90,111.30,1.10,2427.50,0.00,64.80,2206.40,156.30
KONKAN & GOA,1967,0.00,0.00,7.70,0.80,7.50,768.90,1109.20,416.90,317.10,109.60,0.70,14.00,2752.30,0.00,16.00,2612.00,124.20
KONKAN & GOA,1968,0.00,0.30,0.10,6.00,1.50,556.90,1134.70,318.70,202.10,130.40,8.60,0.00,2359.40,0.30,7.60,2212.40,139.00
KONKAN & GOA,1969,0.00,0.00,0.00,1.10,2.40,666.50,1282.20,527.10,586.00,37.90,23.20,0.90,3127.40,0.00,3.50,3061.80,62.10
KONKAN & GOA,1970,0.00,0.00,0.00,1.50,74.50,963.30,993.80,1164.80,312.70,85.80,0.00,0.20,3596.60,0.00,76.00,3434.60,86.00
KONKAN & GOA,1971,0.00,0.00,0.00,0.30,85.10,1011.90,650.80,602.00,362.60,40.40,0.90,0.00,2754.00,0.00,85.40,2627.20,41.30
KONKAN & GOA,1972,0.00,0.10,0.00,0.60,10.70,662.00,731.60,293.90,138.80,8.50,26.80,0.00,1873.00,0.10,11.30,1826.20,35.40
KONKAN & GOA,1973,0.00,0.40,0.00,0.00,3.10,455.90,922.10,910.60,437.40,103.60,2.90,0.20,2836.30,0.40,3.20,2726.10,106.70
KONKAN & GOA,1974,0.70,0.00,0.00,6.80,73.90,508.20,1133.00,774.40,351.10,238.60,0.00,0.00,3086.70,0.70,80.70,2766.70,238.60
KONKAN & GOA,1975,0.00,0.10,0.00,1.00,13.60,856.90,1027.00,848.00,556.00,192.70,20.20,0.00,3515.40,0.10,14.60,3287.80,212.90
KONKAN & GOA,1976,0.00,0.00,1.60,0.40,4.50,635.10,1279.20,690.10,360.70,20.30,71.00,0.00,3063.00,0.00,6.60,2965.10,91.30
KONKAN & GOA,1977,0.00,0.00,0.80,1.30,10.30,583.00,1384.60,580.50,386.90,77.00,78.80,0.20,3103.30,0.00,12.30,2935.00,156.00
