SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
JAMMU & KASHMIR,1937,67.90,160.00,91.00,80.70,19.50,32.20,133.00,73.50,57.50,88.70,14.70,121.10,939.60,227.80,191.20,296.20,224.40
JAMMU & KASHMIR,1938,183.10,194.20,132.60,76.40,14.80,118.70,123.00,136.70,11.20,31.00,11.10,29.00,1061.70,377.30,223.70,389.60,71.00
JAMMU & KASHMIR,1939,89.10,221.00,179.90,68.50,19.60,34.60,164.20,95.20,72.70,57.40,0.00,1.10,1003.50,310.20,268.10,366.70,58.60
JAMMU & KASHMIR,1940,96.80,61.10,108.90,71.90,69.00,85.20,127.40,151.90,69.90,8.50,8.60,19.20,878.30,157.80,249.80,434.30,36.40
JAMMU & KASHMIR,1941,81.70,52.50,109.60,40.10,41.30,44.00,120.20,100.80,163.20,11.40,19.90,87.00,871.60,134.20,191.00,428.10,118.30
JAMMU & KASHMIR,1942,127.70,196.90,39.40,85.90,88.00,35.50,200.00,274.50,80.30,21.70,9.80,80.20,1239.80,324.60,213.30,590.20,111.70
JAMMU & KASHMIR,1943,245.50,37.50,145.00,94.90,124.80,27.60,135.10,228.80,94.00,1.10,3.60,29.80,1167.70,283.10,364.60,485.50,34.50
JAMMU & KASHMIR,1944,114.90,142.50,98.80,72.50,26.40,37.20,193.90,183.20,51.10,18.40,37.80,74.20,1051.00,257.40,197.70,465.50,130.40
JAMMU & KASHMIR,1945,131.70,23.00,138.20,101.80,37.80,49.80,129.70,104.10,94.30,26.10,9.50,10.30,856.20,154.70,277.80,377.80,45.80
JAMMU & KASHMIR,1946,36.60,89.70,87.10,26.00,32.40,82.60,159.00,173.80,16.30,43.50,70.80,104.50,922.30,126.20,145.60,431.70,218.80
JAMMU & KASHMIR,1947,64.70,81.90,68.30,5.70,61.30,39.20,130.00,182.00,177.90,14.60,8.90,79.40,914.00,146.60,135.30,529.20,102.90
JAMMU & KASHMIR,1948,47.90,133.70,261.10,43.40,21.40,66.90,278.30,182.00,60.60,6.20,5.50,76.10,1183.10,181.60,325.90,587.80,87.90
JAMMU & KASHMIR,1949,101.30,194.00,127.70,59.10,54.90,69.20,144.60,85.10,38.60,24.00,11.00,37.50,946.90,295.30,241.60,337.50,72.40
JAMMU & KASHMIR,1950,367.80,96.10,115.40,119.30,55.50,20.90,182.20,175.60,371.10,12.80,0.70,5.70,1523.10,463.90,290.20,749.80,19.20
JAMMU & KASHMIR,1951,107.30,99.30,120.60,90.10,94.60,64.80,116.90,160.60,27.40,23.00,25.40,32.80,963.00,206.60,305.30,369.80,81.30
JAMMU & KASHMIR,1952,88.20,94.10,199.50,42.70,62.80,77.40,175.90,216.90,19.40,1.40,16.00,75.20,1069.60,182.30,305.00,489.60,92.60
JAMMU & KASHMIR,1953,135.50,46.60,98.60,97.20,29.60,75.40,248.70,257.50,117.50,51.30,16.00,55.80,1229.60,182.00,225.40,699.10,123.10
JAMMU & KASHMIR,1954,308.40,250.60,60.70,16.20,73.70,26.10,96.10,123.20,286.00,38.10,15.90,12.30,1307.10,559.00,150.50,531.40,66.20
JAMMU & KASHMIR,1955,47.90,14.90,124.40,64.40,113.50,20.80,160.00,329.40,89.20,170.60,0.00,21.40,1156.40,62.80,302.20,599.30,192.00
JAMMU & KASHMIR,1956,136.40,63.90,180.90,115.10,18.50,113.00,356.80,292.50,49.30,134.00,2.50,57.80,1520.80,200.30,314.50,811.60,194.40
JAMMU & KASHMIR,1957,184.10,144.70,110.90,222.70,144.40,73.50,143.80,203.20,29.90,113.60,86.90,62.60,1520.30,328.70,478.00,450.40,263.10
JAMMU & KASHMIR,1958,38.70,85.80,116.00,101.00,91.60,34.50,253.50,265.10,229.30,25.30,16.30,93.30,1350.40,124.50,308.60,782.50,134.80
JAMMU & KASHMIR,1959,113.50,120.80,114.60,33.30,57.40,19.80,454.60,243.70,243.00,47.30,85.20,17.00,1550.30,234.30,205.30,961.20,149.60
JAMMU & KASHMIR,1960,48.20,9.90,144.70,47.00,29.30,23.30,202.30,183.30,34.20,1.10,4.10,39.00,766.40,58.00,221.00,443.10,44.20
JAMMU & KASHMIR,1961,103.30,57.90,54.50,107.50,55.10,107.30,199.60,217.40,118.30,28.80,53.20,35.00,1138.20,161.20,217.20,642.70,117.10
JAMMU & KASHMIR,1962,20.50,97.00,51.00,117.50,34.00,41.10,132.70,137.10,171.30,11.90,52.70,63.50,930.30,117.40,202.50,482.30,128.10
JAMMU & KASHMIR,1963,0.00,36.40,251.80,188.90,82.40,24.80,68.40,67.00,32.90,12.80,83.50,60.20,909.20,36.40,523.10,193.10,156.50
JAMMU & KASHMIR,1964,126.20,60.70,96.00,134.60,41.30,92.70,167.40,99.40,64.00,1.30,4.60,58.00,946.20,186.90,272.00,423.50,63.90
JAMMU & KASHMIR,1965,62.20,138.10,99.90,179.80,153.40,32.40,83.90,62.00,16.40,26.20,33.00,25.20,912.60,200.40,433.10,194.70,84.40
JAMMU & KASHMIR,1966,1.50,199.30,155.20,148.50,114.00,59.90,169.70,203.90,217.40,83.60,3.50,22.40,1378.90,200.90,417.60,650.90,109.50
JAMMU & KASHMIR,1967,17.50,114.00,156.90,88.10,54.50,52.00,137.90,160.60,115.90,47.10,15.70,131.20,1091.30,131.50,299.50,466.30,194.00
JAMMU & KASHMIR,1968,117.20,72.40,85.20,63.00,58.60,52.10,259.30,183.20,20.90,65.60,29.80,58.20,1065.60,189.70,206.80,515.50,153.60
JAMMU & KASHMIR,1969,81.20,139.70,112.10,174.10,107.70,33.30,156.60,176.40,45.00,62.80,5.60,1.10,1095.60,220.90,393.90,411.30,69.50
JAMMU & KASHMIR,1970,51.70,44.50,94.10,36.00,37.50,79.50,67.20,99.80,84.40,57.30,0.00,4.90,657.00,96.20,167.50,331.00,62.20
JAMMU & KASHMIR,1971,28.10,112.00,10.40,111.00,34.50,93.20,117.60,192.70,13.50,3.60,27.10,20.80,764.70,140.20,155.90,417.10,51.50
JAMMU & KASHMIR,1972,70.20,128.50,169.30,119.50,84.10,31.80,122.40,142.80,67.50,96.70,25.80,87.10,1145.60,198.70,372.90,364.50,209.60
JAMMU & KASHMIR,1973,134.10,83.40,131.30,65.90,57.20,29.10,180.90,299.70,45.50,21.60,0.00,51.80,1100.50,217.50,254.40,555.20,73.40
JAMMU & KASHMIR,1974,118.10,100.60,64.30,46.20,76.00,122.30,90.10,49.10,44.00,12.00,0.60,79.20,802.60,218.70,186.50,305.50,91.90
JAMMU & KASHMIR,1975,71.50,94.30,180.10,83.50,98.40,39.60,262.70,256.50,73.50,1.80,12.80,5.80,1180.40,165.80,362.00,632.20,20.30
JAMMU & KASHMIR,1976,96.60,156.40,116.80,72.40,41.10,47.60,108.20,266.90,58.80,35.10,0.00,23.50,1023.70,253.10,230.40,481.60,58.70
JAMMU & KASHMIR,1977,150.20,21.30,21.10,145.30,68.80,56.50,183.70,115.00,63.20,36.10,20.80,73.10,955.00,171.50,235.20,418.40,130.00
JAMMU & KASHMIR,1978,50.20,73.00,253.60,60.60,40.40,76.70,172.00,173.40,70.10,1.10,89.70,0.80,1061.60,123.20,354.50,492.30,91.60
JAMMU & KASHMIR,1979,65.60,98.40,228.60,58.40,147.10,51.60,103.80,115.90,71.00,7.60,89.90,39.50,1077.40,164.00,434.00,342.30,137.10
