SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
EAST RAJASTHAN,1938,6.20,0.00,0.10,0.10,5.50,140.30,213.50,117.50,10.90,9.00,0.00,0.00,503.10,6.20,5.70,482.30,9.00
EAST RAJASTHAN,1939,1.60,12.70,9.30,0.00,0.10,62.00,108.30,112.70,92.90,1.10,0.00,0.00,400.70,14.30,9.40,375.90,1.10
EAST RAJASTHAN,1940,26.00,16.90,15.90,2.10,5.70,61.30,189.50,290.70,33.70,2.50,8.30,0.40,652.80,42.90,23.60,575.10,11.20
EAST RAJASTHAN,1941,11.70,9.00,2.00,0.00,10.10,39.90,110.20,247.60,70.80,1.10,0.00,3.30,505.90,20.70,12.20,468.60,4.40
EAST RAJASTHAN,1942,15.90,9.90,0.00,2.10,8.00,61.30,399.50,320.80,120.70,0.00,0.00,1.10,939.30,25.80,10.20,902.30,1.10
EAST RAJASTHAN,1943,7.40,0.10,0.00,4.80,6.60,52.60,400.20,111.10,133.60,0.10,0.00,0.10,716.60,7.40,11.50,697.50,0.20
EAST RAJASTHAN,1944,20.10,6.90,24.40,7.90,1.70,75.50,309.90,411.90,31.70,14.50,0.90,1.50,906.90,27.00,34.00,829.10,16.90
EAST RAJASTHAN,1945,15.50,0.00,0.10,6.80,11.20,125.90,346.00,215.10,138.00,3.20,0.00,0.00,861.60,15.50,18.00,824.90,3.20
EAST RAJASTHAN,1946,0.00,10.30,0.00,1.40,7.80,124.60,184.30,429.80,84.50,8.70,12.70,23.50,887.70,10.30,9.30,823.20,44.90
EAST RAJASTHAN,1947,6.60,2.50,0.60,0.50,0.80,14.20,118.30,284.10,272.00,10.30,0.10,4.90,714.80,9.10,1.90,688.50,15.20
EAST RAJASTHAN,1948,39.20,11.90,1.90,0.30,0.90,29.70,221.20,243.00,94.90,12.20,8.30,0.00,663.60,51.10,3.10,588.90,20.60
EAST RAJASTHAN,1949,1.10,0.90,0.10,0.20,5.20,32.50,279.80,81.00,101.00,5.90,1.50,0.00,509.20,2.00,5.50,494.30,7.40
EAST RAJASTHAN,1950,0.90,0.20,3.40,0.00,6.40,13.30,318.80,174.70,221.50,0.00,0.00,0.70,740.10,1.10,9.90,728.40,0.70
EAST RAJASTHAN,1951,1.90,0.00,6.20,2.80,8.00,51.80,97.80,156.30,18.80,0.70,18.60,0.00,362.90,2.00,17.00,324.60,19.30
EAST RAJASTHAN,1952,0.70,3.30,0.90,2.10,0.30,109.20,360.40,224.10,7.50,0.20,0.00,3.90,712.70,4.00,3.40,701.20,4.20
EAST RAJASTHAN,1953,32.30,0.00,0.00,1.40,2.30,59.80,164.30,272.20,50.30,2.20,0.00,1.00,585.90,32.30,3.80,546.60,3.30
EAST RAJASTHAN,1954,3.90,19.60,4.80,0.00,0.10,42.50,253.40,77.60,240.10,23.60,0.40,0.00,665.90,23.50,4.90,613.50,24.00
EAST RAJASTHAN,1955,9.50,3.60,0.70,0.00,3.40,100.30,61.10,358.60,233.00,74.30,0.00,0.10,844.60,13.10,4.10,752.90,74.50
EAST RAJASTHAN,1956,6.00,0.60,9.80,0.20,1.70,35.10,440.60,215.40,51.50,161.90,0.80,5.30,928.80,6.50,11.70,742.60,168.00
EAST RAJASTHAN,1957,26.50,0.10,13.40,0.60,3.70,63.40,243.60,222.40,71.20,12.60,1.60,3.20,662.20,26.60,17.70,600.60,17.40
EAST RAJASTHAN,1958,3.90,0.70,0.80,0.50,1.40,46.20,288.80,153.90,224.80,14.50,6.10,1.10,742.70,4.60,2.70,713.70,21.70
EAST RAJASTHAN,1959,6.00,0.10,0.20,3.80,34.80,36.80,252.30,248.90,152.60,43.00,7.50,0.30,786.20,6.10,38.90,690.50,50.80
EAST RAJASTHAN,1960,1.80,0.00,7.00,1.20,5.30,63.10,152.10,332.00,20.20,7.40,0.00,1.50,591.60,1.80,13.50,567.30,8.90
EAST RAJASTHAN,1961,11.90,7.00,0.00,0.60,5.00,39.20,227.80,225.70,337.20,23.00,6.00,0.90,884.20,18.90,5.60,829.80,29.90
EAST RAJASTHAN,1962,1.10,1.50,3.60,2.10,2.90,5.10,262.40,176.00,139.90,0.00,1.70,7.80,604.10,2.60,8.60,583.40,9.50
EAST RAJASTHAN,1963,0.40,1.40,1.00,2.70,2.00,33.20,130.30,283.90,97.30,6.90,17.60,0.90,577.70,1.90,5.70,544.70,25.40
EAST RAJASTHAN,1964,0.00,0.00,0.00,0.10,30.60,42.00,211.10,289.60,71.70,0.10,0.00,1.00,646.30,0.00,30.70,614.50,1.20
EAST RAJASTHAN,1965,4.60,4.20,1.90,3.10,3.30,7.00,201.70,106.90,83.40,7.80,0.00,0.00,423.80,8.80,8.30,399.00,7.80
EAST RAJASTHAN,1966,0.10,2.60,0.00,0.00,12.70,74.80,141.70,156.20,81.30,0.60,3.10,0.20,473.40,2.80,12.80,454.00,3.90
EAST RAJASTHAN,1967,0.00,0.00,57.40,1.40,2.60,87.30,157.30,250.90,163.10,1.10,1.30,37.70,759.90,0.00,61.30,658.50,40.10
EAST RAJASTHAN,1968,8.60,1.50,6.60,0.10,4.20,5.20,296.20,181.30,10.70,4.90,0.00,0.20,519.60,10.10,11.00,493.40,5.10
EAST RAJASTHAN,1969,3.50,1.10,1.70,1.90,4.90,16.70,226.40,258.50,117.20,0.10,2.10,0.00,634.10,4.60,8.50,618.80,2.20
EAST RAJASTHAN,1970,6.70,25.30,1.70,0.10,5.80,91.70,146.30,318.90,117.30,4.60,0.00,0.00,718.40,32.00,7.60,674.20,4.60
